MaritalStatus,ApplicationMode,ApplicationOrder,Course,DaytimeEveningAttendance,PreviousQualification,PreviousQualificationGrade,Nationality,MothersQualification,FathersQualification,MothersOccupation,FathersOccupation,AdmissionGrade,Displaced,EducationalSpecialNeeds,Debtor,TuitionFeesUpToDate,Gender,ScholarshipHolder,AgeAtEnrollment,International,CurricularUnits1stSemCredited,CurricularUnits1stSemEnrolled,CurricularUnits1stSemEvaluations,CurricularUnits1stSemApproved,CurricularUnits1stSemGrade,CurricularUnits1stSemWithoutEvaluations,CurricularUnits2ndSemCredited,CurricularUnits2ndSemEnrolled,CurricularUnits2ndSemEvaluations,CurricularUnits2ndSemApproved,CurricularUnits2ndSemGrade,CurricularUnits2ndSemWithoutEvaluations,UnemploymentRate,InflationRate,GDP,Status
Single,1st Phase - General Contingent,1,Social Service,Daytime,Secondary Education - 12th Year of Schooling or Eq.,127,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,Intermediate Level Technicians and Professions,141,Yes,0,0,1,Male,No,22,No,0,6,6,6,12,0,0,6,6,6,13,0,10,1,1,Dropout
Single,Over 23 Years Old,1,Agronomy,Daytime,Other - 11th Year of Schooling,133,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Armed Forces Professions,130,No,0,0,1,Male,No,28,No,0,6,6,0,0,0,0,6,6,0,0,0,11,0,2,Dropout
Single,1st Phase - Special Contingent (Azores Island),4,Informatics Engineering,Daytime,Secondary Education - 12th Year of Schooling or Eq.,115,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",113,Yes,0,0,1,Male,No,23,No,0,5,7,0,0,0,0,5,5,0,0,0,7,2,0,Dropout
Single,1st Phase - General Contingent,1,Journalism and Communication,Daytime,Secondary Education - 12th Year of Schooling or Eq.,108,Portuguese,Unknown,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Student,Intermediate Level Technicians and Professions,105,No,0,0,1,Male,No,20,No,0,6,11,4,10,0,0,6,13,2,10,0,7,2,0,Dropout
Single,3rd Phase - General Contingent,2,Informatics Engineering,Daytime,Secondary Education - 12th Year of Schooling or Eq.,136,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Bachelor's Degree,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,122,Yes,0,0,1,Male,No,18,No,0,5,7,5,12,0,0,5,9,3,13,0,13,0,0,Dropout
Single,Over 23 Years Old,2,Management,Daytime,Other - 11th Year of Schooling,133,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,120,Yes,0,1,0,Male,No,28,No,0,5,5,0,0,0,0,5,5,0,0,0,9,0,-3,Dropout
Single,Technological Specialization Diploma Holders,1,Communication Design,Daytime,Technological Specialization Course,120,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers",Installation and Machine Operators and Assembly Workers,119,No,0,0,1,Male,No,21,No,2,7,7,2,12,0,5,9,10,7,12,0,12,0,1,Dropout
Single,Over 23 Years Old,1,Advertising and Marketing Management,Daytime,Secondary Education - 12th Year of Schooling or Eq.,133,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,122,No,0,1,0,Male,No,25,No,0,6,7,3,14,0,0,6,9,2,14,0,13,0,0,Dropout
Single,Technological Specialization Diploma Holders,1,Veterinary Nursing,Daytime,Technological Specialization Course,160,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,160,Yes,1,0,0,Male,No,19,No,2,6,6,6,14,0,1,6,11,6,13,0,12,0,1,Dropout
Single,1st Phase - General Contingent,4,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,128,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Armed Forces Professions,125,Yes,0,0,1,Male,Yes,18,No,0,7,7,7,14,0,0,8,9,8,15,0,12,0,1,Graduate
Single,Over 23 Years Old,1,Informatics Engineering,Daytime,Higher Education - Degree,130,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Other Situation,Other Situation,143,No,0,0,1,Male,No,29,No,0,3,3,0,0,3,0,5,0,0,0,0,10,1,1,Dropout
Single,Over 23 Years Old,1,Informatics Engineering,Daytime,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,133,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Intermediate Level Technicians and Professions,"Skilled Workers in Industry, Construction and Craftsmen",96,No,0,0,1,Male,Yes,29,No,0,5,6,0,0,0,0,5,7,0,0,0,12,0,1,Dropout
Single,3rd Phase - General Contingent,1,Tourism,Daytime,Secondary Education - 12th Year of Schooling or Eq.,137,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",126,No,0,0,1,Male,No,20,No,0,6,7,6,13,0,0,6,7,5,12,0,16,0,0,Graduate
Single,1st Phase - General Contingent,1,Animation and Multimedia Design,Daytime,Secondary Education - 12th Year of Schooling or Eq.,163,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",143,No,0,0,1,Male,No,18,No,0,0,0,0,0,0,0,0,0,0,0,0,9,0,-3,Graduate
Single,1st Phase - General Contingent,1,Tourism,Daytime,Secondary Education - 12th Year of Schooling or Eq.,125,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Cleaning workers,"Unskilled workers in extractive industry, construction, manufacturing and transport",114,No,0,0,1,Male,No,20,No,0,6,8,6,13,0,0,6,7,6,12,0,8,1,3,Graduate
Married,Over 23 Years Old,1,Informatics Engineering,Daytime,Secondary Education - 12th Year of Schooling or Eq.,120,Portuguese,Unknown,Unknown,Student,Student,140,Yes,0,0,1,Male,No,33,No,0,5,14,1,18,0,0,5,9,2,13,0,9,0,-3,Dropout
Single,Transfer,1,Management (evening attendance),Evening,Secondary Education - 12th Year of Schooling or Eq.,150,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",113,No,0,0,1,Male,No,30,No,11,15,15,13,11,0,6,11,15,10,11,1,16,0,0,Graduate
Single,1st Phase - General Contingent,1,Oral Hygiene,Daytime,Secondary Education - 12th Year of Schooling or Eq.,135,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Legislative Power and Executive Bodies,Legislative Power and Executive Bodies,131,No,0,0,1,Male,Yes,21,No,0,7,14,5,11,0,0,8,11,6,11,0,16,0,0,Enrolled
Single,1st Phase - General Contingent,1,Agronomy,Daytime,Secondary Education - 12th Year of Schooling or Eq.,148,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Meal preparation assistants,Meal preparation assistants,143,No,0,1,1,Male,No,18,No,0,6,6,5,15,0,0,6,8,4,14,0,8,1,3,Graduate
Single,1st Phase - General Contingent,1,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,138,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Unskilled Workers,126,No,0,0,1,Male,Yes,19,No,0,7,9,7,14,0,0,8,12,8,12,0,15,2,-4,Graduate
Single,2nd Phase - General Contingent,1,Communication Design,Daytime,Secondary Education - 12th Year of Schooling or Eq.,119,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,115,No,0,0,1,Male,Yes,21,No,0,6,8,4,11,0,0,6,7,5,11,0,15,2,-4,Dropout
Single,Over 23 Years Old,2,Oral Hygiene,Daytime,Secondary Education - 12th Year of Schooling or Eq.,130,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",100,No,0,0,1,Male,Yes,25,No,0,7,7,2,10,0,0,7,7,0,0,0,15,2,-4,Dropout
Single,1st Phase - General Contingent,2,Advertising and Marketing Management,Daytime,Secondary Education - 12th Year of Schooling or Eq.,135,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,121,No,0,0,1,Male,No,19,No,0,5,7,3,12,0,0,5,5,5,11,0,9,0,-3,Graduate
Single,Technological Specialization Diploma Holders,1,Communication Design,Daytime,Technological Specialization Course,120,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Intermediate Level Technicians and Professions,120,Yes,0,0,1,Male,No,23,No,2,7,8,5,12,0,5,9,10,7,12,1,16,0,0,Dropout
Single,2nd Phase - General Contingent,2,Communication Design,Daytime,Secondary Education - 12th Year of Schooling or Eq.,126,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,129,Yes,0,0,1,Male,Yes,19,No,0,6,6,6,13,0,0,6,7,5,13,0,12,0,1,Graduate
Single,1st Phase - General Contingent,1,Animation and Multimedia Design,Daytime,Secondary Education - 12th Year of Schooling or Eq.,149,Portuguese,Higher Education - Degree,Higher Education - Bachelor's Degree,Specialists in Intellectual and Scientific Activities,"Personal Services, Security and Safety Workers and Sellers",151,Yes,0,0,1,Male,No,19,No,0,0,0,0,0,0,0,0,0,0,0,0,9,0,-3,Graduate
Single,Over 23 Years Old,1,Agronomy,Daytime,Secondary Education - 12th Year of Schooling or Eq.,110,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",120,No,0,1,0,Male,No,31,No,0,6,15,1,11,0,0,6,10,0,0,0,16,0,0,Dropout
Single,Over 23 Years Old,1,Agronomy,Daytime,Secondary Education - 12th Year of Schooling or Eq.,133,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",130,No,0,1,0,Male,No,32,No,0,6,8,3,13,0,4,10,14,6,11,0,16,0,0,Dropout
Single,1st Phase - Special Contingent (Madeira Island),2,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,127,Portuguese,Higher Education - Bachelor's Degree,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Administrative staff,Unskilled Workers,119,Yes,0,0,1,Female,Yes,19,No,0,8,12,7,12,0,0,8,12,7,12,0,10,1,1,Graduate
Single,Transfer,1,Journalism and Communication,Daytime,Frequency of Higher Education,120,Portuguese,Unknown,Unknown,Student,Student,122,Yes,0,0,1,Female,No,34,No,8,10,11,10,12,0,5,10,12,9,12,0,7,2,0,Graduate
Single,1st Phase - Special Contingent (Madeira Island),6,Journalism and Communication,Daytime,Secondary Education - 12th Year of Schooling or Eq.,136,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,10th Year of Schooling,Student,Student,129,Yes,0,0,1,Female,No,21,No,0,6,6,6,13,0,0,6,6,6,13,0,7,2,0,Graduate
Single,Change of Course,2,Social Service,Daytime,Secondary Education - 12th Year of Schooling or Eq.,110,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",112,Yes,0,0,1,Female,Yes,53,No,4,7,16,6,11,0,2,7,9,7,11,0,9,0,-3,Graduate
Single,1st Phase - General Contingent,1,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,136,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",136,No,0,0,1,Female,Yes,19,No,0,7,7,7,14,0,0,8,8,8,15,0,13,0,0,Graduate
Single,1st Phase - General Contingent,3,Journalism and Communication,Daytime,Secondary Education - 12th Year of Schooling or Eq.,145,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",133,No,0,0,1,Female,Yes,20,No,0,6,9,4,13,0,0,6,13,4,11,0,10,1,1,Graduate
Single,1st Phase - General Contingent,2,Journalism and Communication,Daytime,Secondary Education - 12th Year of Schooling or Eq.,159,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,151,Yes,0,0,1,Female,No,18,No,0,6,6,6,14,0,0,6,6,6,14,0,10,1,1,Graduate
Single,Over 23 Years Old,1,Animation and Multimedia Design,Daytime,Secondary Education - 12th Year of Schooling or Eq.,147,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Workers in food processing, woodworking, clothing and other industries","Unskilled workers in extractive industry, construction, manufacturing and transport",133,No,0,0,0,Female,No,32,No,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,Dropout
Single,Change of Course,1,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,150,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,130,Yes,0,0,1,Female,Yes,21,No,0,8,8,7,14,0,0,8,8,7,14,0,12,3,-1,Graduate
Single,Holders of Other Higher Courses,1,Social Service (evening attendance),Evening,Higher Education - Degree,140,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Other - 11th Year of Schooling,Unskilled Workers,Administrative staff,140,No,0,0,0,Female,No,26,No,0,5,9,0,0,0,0,5,10,0,0,0,9,0,-3,Dropout
Single,Transfer,1,Veterinary Nursing,Daytime,Technological Specialization Course,150,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,"Skilled Workers in Industry, Construction and Craftsmen",150,Yes,0,0,1,Female,No,26,No,11,18,45,18,11,10,9,13,27,13,12,5,15,2,-4,Graduate
Married,Technological Specialization Diploma Holders,1,Management (evening attendance),Evening,Technological Specialization Course,130,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Administrative staff,Unskilled Workers,130,No,0,0,0,Female,No,21,No,0,5,12,3,11,0,0,5,10,1,13,0,15,2,-4,Dropout
Single,2nd Phase - General Contingent,1,Journalism and Communication,Daytime,Secondary Education - 12th Year of Schooling or Eq.,120,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",125,No,0,0,1,Female,No,18,No,0,6,9,6,12,0,0,6,9,6,13,0,7,2,0,Graduate
Single,Change of Course,1,Communication Design,Daytime,Technological Specialization Course,130,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers",Unskilled Workers,124,Yes,0,0,1,Female,Yes,21,No,4,12,12,12,13,0,5,12,12,11,12,0,15,2,-4,Graduate
Single,1st Phase - General Contingent,1,Tourism,Daytime,Secondary Education - 12th Year of Schooling or Eq.,112,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",113,Yes,0,0,1,Female,No,21,No,0,6,10,6,10,0,0,6,10,4,11,0,7,2,0,Enrolled
Single,2nd Phase - General Contingent,1,Advertising and Marketing Management,Daytime,Secondary Education - 12th Year of Schooling or Eq.,128,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",124,No,0,0,1,Female,Yes,19,No,0,6,6,6,13,0,0,6,6,6,14,0,13,0,0,Graduate
Single,2nd Phase - General Contingent,1,Management,Daytime,Secondary Education - 12th Year of Schooling or Eq.,114,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",107,No,0,0,1,Female,No,19,No,0,5,7,2,10,0,0,5,11,2,14,0,10,1,1,Dropout
Single,Change of Course,2,Social Service,Daytime,Secondary Education - 12th Year of Schooling or Eq.,118,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",110,No,0,0,1,Female,Yes,19,No,0,6,8,6,11,0,0,6,11,5,11,0,10,1,1,Graduate
Single,Holders of Other Higher Courses,1,Nursing,Daytime,Higher Education - Degree,130,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",130,Yes,0,0,1,Female,No,27,No,0,8,8,8,12,0,0,8,8,8,12,0,9,0,-3,Graduate
Single,1st Phase - General Contingent,2,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,145,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Administrative staff,138,Yes,0,0,1,Female,Yes,18,No,0,7,7,6,12,0,0,7,7,6,12,0,7,2,0,Graduate
Single,1st Phase - General Contingent,2,Management,Daytime,Secondary Education - 12th Year of Schooling or Eq.,121,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,126,Yes,0,0,1,Female,No,20,No,0,5,12,1,10,2,0,5,5,0,0,0,12,3,-1,Dropout
Single,1st Phase - General Contingent,3,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,114,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",114,Yes,0,0,1,Female,Yes,19,No,0,7,7,7,13,0,0,8,8,8,12,0,12,0,1,Graduate
Single,1st Phase - General Contingent,4,Advertising and Marketing Management,Daytime,Secondary Education - 12th Year of Schooling or Eq.,127,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",116,Yes,0,0,1,Female,No,20,No,0,6,7,0,0,0,0,6,6,0,0,0,16,0,0,Dropout
Single,2nd Phase - General Contingent,2,Social Service,Daytime,Secondary Education - 12th Year of Schooling or Eq.,145,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",128,Yes,0,0,1,Female,Yes,19,No,0,6,12,5,11,0,0,6,11,6,11,0,12,3,-1,Graduate
Single,2nd Phase - General Contingent,5,Social Service,Daytime,Secondary Education - 12th Year of Schooling or Eq.,130,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",130,Yes,0,0,1,Female,No,20,No,0,6,8,4,11,0,0,6,15,3,10,0,9,0,-3,Enrolled
Single,1st Phase - General Contingent,1,Animation and Multimedia Design,Daytime,Secondary Education - 12th Year of Schooling or Eq.,150,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Skilled Workers in Industry, Construction and Craftsmen",Armed Forces Professions,134,No,0,0,1,Female,No,20,No,0,0,0,0,0,0,0,0,0,0,0,0,15,2,-4,Dropout
Single,1st Phase - General Contingent,1,Basic Education,Daytime,Secondary Education - 12th Year of Schooling or Eq.,145,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Personal Services, Security and Safety Workers and Sellers",146,No,0,0,1,Female,No,18,No,0,6,6,6,13,0,0,6,6,6,13,0,7,2,0,Graduate
Single,1st Phase - General Contingent,1,Veterinary Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,128,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,"Personal Services, Security and Safety Workers and Sellers",Administrative staff,135,Yes,0,0,1,Female,No,20,No,0,5,7,4,12,0,0,5,5,5,13,0,10,1,1,Graduate
Married,Over 23 Years Old,1,Management (evening attendance),Evening,Secondary Education - 12th Year of Schooling or Eq.,140,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,120,No,0,0,0,Female,No,38,No,0,5,6,5,10,0,0,5,9,2,11,0,12,3,-1,Dropout
Divorced,Over 23 Years Old,1,Social Service (evening attendance),Evening,Secondary Education - 12th Year of Schooling or Eq.,130,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",138,No,0,0,1,Female,No,42,No,0,6,8,5,11,0,0,6,6,6,12,0,8,1,3,Graduate
Single,Over 23 Years Old,1,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,140,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",135,No,0,0,1,Female,No,32,No,0,7,0,0,0,0,0,8,0,0,0,0,13,0,0,Dropout
Single,International Student (Bachelor),1,Journalism and Communication,Daytime,Secondary Education - 12th Year of Schooling or Eq.,120,Santomean,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",120,Yes,0,0,1,Female,No,22,Yes,0,6,6,6,13,0,0,6,6,6,13,0,12,0,1,Graduate
Married,Over 23 Years Old,1,Management (evening attendance),Evening,Secondary Education - 12th Year of Schooling or Eq.,147,Portuguese,Unknown,Unknown,Other Situation,Other Situation,111,Yes,0,0,1,Female,No,28,No,0,5,10,0,0,0,0,5,5,0,0,0,7,2,0,Dropout
Married,Over 23 Years Old,1,Social Service (evening attendance),Evening,12th Year of Schooling - Not Completed,133,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Installation and Machine Operators and Assembly Workers,Armed Forces Professions,100,Yes,0,0,1,Female,No,37,No,0,6,0,0,0,0,0,6,0,0,0,0,9,0,-3,Dropout
Married,Technological Specialization Diploma Holders,1,Agronomy,Daytime,Technological Specialization Course,160,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,Administrative staff,160,No,0,0,1,Female,No,43,No,0,6,8,6,14,0,0,6,9,6,15,0,15,2,-4,Graduate
Legally Separated,Over 23 Years Old,1,Social Service (evening attendance),Evening,Secondary Education - 12th Year of Schooling or Eq.,133,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",114,No,0,0,1,Female,Yes,41,No,0,6,10,5,12,0,0,6,6,6,12,0,13,0,0,Graduate
Divorced,Over 23 Years Old,1,Social Service (evening attendance),Evening,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,140,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Intermediate Level Technicians and Professions,131,No,0,0,1,Female,Yes,29,No,0,6,11,4,11,0,0,6,9,5,10,0,10,1,1,Graduate
Single,Over 23 Years Old,1,Social Service (evening attendance),Evening,Secondary Education - 12th Year of Schooling or Eq.,133,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,97,No,0,0,1,Female,Yes,35,No,0,6,8,6,10,0,0,6,7,6,11,0,10,1,1,Graduate
Single,2nd Phase - General Contingent,6,Social Service,Daytime,Secondary Education - 12th Year of Schooling or Eq.,131,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Administrative staff,Specialists in Intellectual and Scientific Activities,131,Yes,0,0,1,Female,No,18,No,0,6,8,4,11,0,0,6,8,4,12,0,9,0,-3,Dropout
Single,Over 23 Years Old,1,Nursing,Daytime,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,133,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",120,No,0,0,0,Female,Yes,39,No,0,7,14,3,11,0,0,7,9,2,10,0,16,0,0,Dropout
Divorced,Over 23 Years Old,1,Management (evening attendance),Evening,Secondary Education - 12th Year of Schooling or Eq.,120,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,110,No,0,0,1,Female,No,37,No,0,5,14,2,10,0,0,5,7,3,11,0,12,3,-1,Enrolled
Single,Over 23 Years Old,1,Nursing,Daytime,Secondary Education - 12th Year of Schooling or Eq.,130,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Skilled Workers in Industry, Construction and Craftsmen",133,Yes,0,0,1,Female,Yes,26,No,0,7,7,6,13,0,0,7,7,6,13,0,7,2,0,Graduate
